239,A Graph Spectral Approach for Restoring Images Corrupted by Shot-noise,S4,Jidesh P,"P, Jidesh*; AA, BINI"
240,Fast road sign detection and recognition using colour-based thresholding,S3,farah J Ansari,"Ansari, farah J*; Agarwal, Sumeet"
241,ECASR: Efficient Channel Attention based Super-Resolution,S4,Nilkanta Sahu,"Borah, Sameeran; Sahu, Nilkanta*"
242,Transfer Learning Based COVID-19 Patient Classification,S8,Dr. Chandra Prakash,"Rastogi, Vrinda; Srivastava, Sahima; Prakash, Dr. Chandra*; Singh, Dr Rishav"
243,Dimensionality Reduction by Consolidated Sparse Representation and Fisher Criterion with Initialization for Recognition,S9,Parita Chavda,"Chavda, Parita*; Mandal, Srimanta; Mitra, Suman"
247,Human Gait Abnormality Detection using Low Cost Sensor Technology,S2,Anup Nandy,"Jain, Shaili; Nandy, Anup*"
250,Deep Learning and Density Based Clustering Methods for Road Traffic Prediction,S3,Jagadish D N,"D N, Jagadish*; Mahto, Lakshman; Chauhan, Arun"
252,Automated Scoring of Metaphase Cell Images and Identification of Dicentric Chromosomes,S8,Muhammad Ubadah,"Ubadah, Muhammad*; Singh, Kishore Kumar; Sao, Anil Kumar; Bhavsar, Arnav; Bhagi, Shuchi ; Alok, Amit ; Chaudhury, N.K."
255,Bengali Place Name Recognition - Comparative Analysis using Different CNN Architectures,S12,Prashant Kumar Prasad,"Prasad, Prashant Kumar*; Banerjee, Pamela; Chanda, Sukalpa; Pal , Umapada"
257,Deep learning based Stabbing Action Detection in ATM Kiosks for intelligent Video Surveillance Applications,S3,Yogameena Balasubramanian,"Balasubramanian, Yogameena*; Kandasamy, Menaka; S, Saravana Perumaal"
258,Face Recognition in Large Age Gap using Single Reference Sample,S2,SUMITHRA R,"R, SUMITHRA*; Guru, Dr. D. S; Aradhya, Manjunath; Ragavendra, Anitha"
262,Evaluation of Deep Learning Networks for Keratoconus Detection using Corneal Topographic Images,S12,Savita R. Gandhi,"Gandhi, Savita R.*; Satani, Jigna"
263,An algorithm for semantic vectorization of videoscenes - Applications to Retrieval and Anomalydetection,S13,Kalidas Yeturu,"Prashanth, Komuravelli; Yeturu, Kalidas*; Rathod, Jay; Ayyagari, Sai Prem Kumar; Deep, Aakash"
266,Deep Facial Emotion Recognition System under Facial Mask Occlusion,S2,Suchitra Saxena,"Saxena, Suchitra*; Tripathi, Shikha; Sudarshan, Dr.T.S.B."
